district,rabi_year,T2M_MAX,T2M,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN
Ujjain,2024,27.61229508196722,19.860983606557376,13.6560655737705,36.77,13.102786885245896
Chhatarpur,2018,29.174237288135604,20.02779661016949,12.125254237288132,11.36,16.883898305084752
Chhatarpur,2019,26.659749999999992,17.731999999999992,10.611500000000003,13.419999999999998,15.649666666666674
Chhatarpur,2020,23.271570247933866,16.368099173553723,10.757272727272735,52.209999999999994,14.412892561983472
Chhatarpur,2021,28.12391666666666,19.419666666666668,12.068833333333334,24.18,15.249333333333333
Chhatarpur,2022,24.42583333333334,16.457749999999994,10.077166666666663,83.27999999999999,14.781
Chhatarpur,2023,25.325916666666675,17.462749999999993,10.820666666666673,8.42,16.114666666666658
Chhatarpur,2024,26.60688524590164,19.204918032786875,13.373442622950819,21.230000000000004,12.916065573770496
Sehore,2018,30.369152542372877,21.060169491525432,12.95,10.079999999999998,17.51983050847457
Sehore,2019,28.997999999999998,19.479083333333328,11.49075,2.67,16.59175
Sehore,2020,25.721900826446273,17.964049586776863,11.555702479338837,24.240000000000006,15.242314049586778
Sehore,2021,28.924999999999994,19.98475000000001,12.695916666666665,17.900000000000002,15.920083333333336
Sehore,2022,26.425999999999995,18.204499999999996,11.308000000000002,35.24,15.602249999999994
Sehore,2023,27.801999999999996,18.657916666666658,11.345333333333333,20.369999999999997,16.94516666666667
Sehore,2024,27.1244262295082,19.45426229508196,13.163934426229508,36.669999999999995,13.90737704918033
Dewas,2018,30.188135593220338,20.982372881355932,13.178135593220345,5.01,17.470338983050844
Dewas,2019,28.739249999999995,19.383750000000013,11.463083333333334,1.41,16.609416666666668
Dewas,2020,25.41719008264463,17.778181818181828,11.45809917355372,19.85,15.236859504132232
Dewas,2021,28.573583333333353,19.829166666666673,12.69891666666666,17.63,15.943583333333333
Dewas,2022,25.88533333333333,17.980666666666664,11.27208333333333,36.62,15.671999999999997
Dewas,2023,27.77883333333335,18.744333333333334,11.521749999999999,11.339999999999998,16.899999999999995
Dewas,2024,27.010819672131152,19.54229508196721,13.241147540983606,39.61000000000001,13.903934426229506
Sheopur,2018,28.784067796610167,19.53,11.47847457627119,1.0,16.565084745762707
Sheopur,2019,26.276416666666684,17.35225000000001,10.200333333333335,15.19,15.301166666666669
Sheopur,2020,25.02776859504132,17.283801652892564,10.947438016528922,28.209999999999994,14.053388429752069
Sheopur,2021,27.710916666666673,19.002666666666666,11.7345,67.67999999999999,14.933500000000002
Sheopur,2022,25.323749999999997,17.225250000000003,10.556583333333329,48.42,14.51091666666667
Sheopur,2023,26.39908333333333,17.827583333333333,10.827833333333333,12.06,15.869249999999997
Sheopur,2024,26.979344262295086,19.268032786885243,13.238852459016401,33.49,12.349508196721306
Neemuch,2018,28.901355932203384,20.075593220338984,12.504237288135597,0.0,17.123389830508476
Neemuch,2019,27.095000000000006,18.087166666666665,10.709916666666661,8.309999999999999,15.983416666666663
Neemuch,2020,24.236446280991732,16.956033057851243,11.076942148760335,21.680000000000003,14.77330578512396
Neemuch,2021,28.04591666666668,19.243999999999996,12.291666666666666,24.84,15.22958333333334
Neemuch,2022,24.7725,17.186333333333337,10.910249999999992,77.02000000000001,14.947583333333338
Neemuch,2023,27.41283333333333,18.567833333333333,11.589833333333333,17.49,16.44841666666666
Neemuch,2024,27.27295081967213,19.745081967213114,13.749180327868848,43.94,12.797213114754099
